document,file,proof_layer_id,control,nist_800_53_r5,risk,covered,n_keywords_matched,n_keywords_total,matched_keywords,hits_near_negation,snippet_1,snippet_2
MD IT Security Manual,MD_IT_SecurityManual.pdf,PL-10,Incident Response Plan,IR-1,HIGH,1,3,6,incident handling; incident response; security incident,0,mployees and contractors 10 authorizing official (ao) 10 agency chief information security officer (ciso) 11 system owner (so) 12 incident response team (irt) 13 asset management 14 inventory of assets 14 information classification policy 15 personally identifiable information,"es appropriate action to alert appropriate personnel of suspected intrusions to the agency mis ● analyze and document information security incidents and security events ● perform investigations of potentially malicious or suspicious activity ● if the mis stores, processes or t"
MD IT Security Manual,MD_IT_SecurityManual.pdf,PL-11,Incident Reporting,IR-6,HIGH,1,2,5,incident reporting; us-cert,0,ract requirements 197 production-hosted contract requirements 199 appendix a: security authorization checklist 200 appendix b: it incident reporting form 201 appendix c: acronyms and abbreviations 204 appendix d: glossary 210 appendix e: wireless security 214 appendix f: sample,"is applies only if the mis stores, processes and/or transmits fti data) ● receive and monitor security alerts and advisories from us-cert and take appropriate action in response to alerts and advisories ● report security incident information to senior agency official"
MD IT Security Manual,MD_IT_SecurityManual.pdf,PL-12,Risk Assessment,RA-3,HIGH,1,1,6,risk assessment,0,ualization technologies 186 cloud computing technologies 187 mobile devices 188 data loss prevention guidance 190 enforcement 191 risk assessment policy 191 purpose 192 conditions 192 state of maryland information technology security manual version 1.2 3 vendor required secu,
MD IT Security Manual,MD_IT_SecurityManual.pdf,PL-13,Vulnerability Scanning,RA-5,HIGH,1,4,6,patch management; penetration test; vulnerability management; vulnerability scan,1,ith the terms and conditions established by the ao. this limited authorization will be granted when all of the following apply: o vulnerability scans have been performed on the system and there are no major or high-risk vulnerabilities discovered. if necessary corrective action,"d reported. b. vulnerability scanning tools are employed that promote interoperability among tools and that automate parts of the vulnerability management process by using standards for: c. ensuring platforms, software flaws, and improper configurations. d. formatting, checklists and"
MD IT Security Manual,MD_IT_SecurityManual.pdf,PL-14,Data Encryption in Transit,SC-8,HIGH,1,3,6,https; ssl; tls,0,"a in transit. b. connectivity to wireless networks must be secured with protocols that support mutual-authentication, such as eap-tls. c. management connectivity to the wireless infrastructure should be segregated from user connectivity. d. physical or logical se",st establish a privacy program low moderate high consistent with nist special publication 800-53 (current revision) requirements. https://csrc.nist.gov/publications/detail/sp/800-53/rev- 4/final the maryland agency privacy policy must be reviewed and updated at lea
MD IT Security Manual,MD_IT_SecurityManual.pdf,PL-15,Data Encryption at Rest,SC-28,HIGH,1,2,6,aes; data at rest,0,"ent wireless connectivity using security algorithms, encryption, and features that are considered generally secure, including: a. aes encryption to secure wireless data in transit. b. connectivity to wireless networks must be secured with protocols that support m","mprehensive approach covering people, processes, and systems that identify, monitor, and protect data in use, data in motion, and data at rest, through deep content inspection and with a centralized management framework. dlp solutions go beyond securing the network to sec"
MD IT Security Manual,MD_IT_SecurityManual.pdf,PL-16,Network Segmentation,SC-7,MEDIUM,1,2,7,dmz; firewall,0,"ce agreements and the system contingency plan or operational support plan. security-critical components may include, for example, firewalls, guards, gateways, intrusion detection systems, audit repositories, authentication servers, and intrusion prevention systems. st"," time for unusual or unauthorized activities or conditions at the external boundary of the network and at the demilitarized zone (dmz) to discover anomalies such as large file transfers, long-time persistent connections, unusual or not explicitly allowed protocol"
MD IT Security Manual,MD_IT_SecurityManual.pdf,PL-17,Security Awareness Training,AT-2,MEDIUM,1,2,5,security awareness; security training,0,"process encompasses the following components: ● documentation of security and privacy controls in an ssp ● system authorization ● security training, awareness, and education when an ao authorizes system operation, they are accepting the associated risk of information loss, sys", assist oversight groups in compliance reviews and other reporting requirements ● establish an overall strategy for the agency it security awareness and training program ● ensure the program is sufficiently staffed and funded to achieve its approved objectives in a timely manne
MD IT Security Manual,MD_IT_SecurityManual.pdf,PL-18,Personnel Screening / Background Checks,PS-3,MEDIUM,1,1,5,clearance,1,"he maryland agency must: n/a n/a high a. implement procedures for the use of maintenance personnel that lack appropriate security clearances or are not us citizens, that include the following requirements: 1. maintenance personnel who do not have needed access authoriz",
MD IT Security Manual,MD_IT_SecurityManual.pdf,PL-19,Backup & Recovery,CP-9,HIGH,1,6,7,backup; business continuity; disaster recovery; recovery; rpo; rto,1,"red to perform essential capabilities for receiving, processing, storing, or transmitting confidential information. ● maintaining backup copies of hardened system configurations. configuration management describes the processes through which baseline configurations ","te government article “protection of information by government agencies; ● developing, implementing and testing of an it disaster recovery plan for critical agency it systems in accordance with it disaster recovery plan guidelines; ● ensuring separation of duties and "
MD IT Security Manual,MD_IT_SecurityManual.pdf,PL-20,Contingency / Disaster Recovery Plan,CP-2,HIGH,1,3,5,business continuity plan; contingency plan; disaster recovery plan,1,2 planning 35 service interface agreements 40 operational level controls 42 awareness and training 42 configuration management 44 contingency planning 60 incident response 72 maintenance 80 media protection 87 physical and personnel security 93 system and information integrit,"f the state government article “protection of information by government agencies; ● developing, implementing and testing of an it disaster recovery plan for critical agency it systems in accordance with it disaster recovery plan guidelines; ● ensuring separation of duties and assig"
MD IT Security Manual,MD_IT_SecurityManual.pdf,PL-21,Third-Party / Vendor Risk Management,SR-1,MEDIUM,0,0,6,,0,,
MD IT Security Manual,MD_IT_SecurityManual.pdf,PL-22,Media Sanitization,MP-6,MEDIUM,1,1,5,media sanitization,0,form 201 appendix c: acronyms and abbreviations 204 appendix d: glossary 210 appendix e: wireless security 214 appendix f: sample media sanitization form 216 appendix g: sample incident handling checklist and forensics guidelines 216 state of maryland information technology sec,
MD Local Gov Cybersecurity 2021,MD_UMGC_LocalGov_Cybersecurity_2021.pdf,PL-01,Access Control Policy & Procedures,AC-1,HIGH,0,0,4,,0,,
MD Local Gov Cybersecurity 2021,MD_UMGC_LocalGov_Cybersecurity_2021.pdf,PL-02,Account Management,AC-2,HIGH,1,1,7,user accounts,0,accounts and/or remote access accounts. only 5 respondents said their unit requires multi-factor authentication of non-privileged user accounts and/or software as a service account. ● the state can best support lea’s work to meet the minimum standards for cyber security by,
MD Local Gov Cybersecurity 2021,MD_UMGC_LocalGov_Cybersecurity_2021.pdf,PL-03,Least Privilege / Role-Based Access,AC-6,HIGH,1,1,7,roles,0,y programs are effective. the governance questions addressed in task 1 are highlighted below. governance questions ● what are the roles of key state departments and local jurisdictions addressing cybersecurity risk? ● how can the state better collaborate with other,
MD Local Gov Cybersecurity 2021,MD_UMGC_LocalGov_Cybersecurity_2021.pdf,PL-04,Multi-Factor Authentication (MFA),IA-2,HIGH,1,4,7,authentication; cac; multi-factor; piv,0,ve information and information-sharing agreements. nearly 75% perform backups on a regular basis. over 60% of respondents require multi-factor authentication for email. only three respondents do not conduct cybersecurity training. 2 ibid. 6 ● detect: the maryland it secur,n and information-sharing agreements. nearly 75% perform backups on a regular basis. over 60% of respondents require multi-factor authentication for email. only three respondents do not conduct cybersecurity training. 2 ibid. 6 ● detect: the maryland it security manual desc
MD Local Gov Cybersecurity 2021,MD_UMGC_LocalGov_Cybersecurity_2021.pdf,PL-05,Remote Access Controls,AC-17,MEDIUM,1,3,6,rdp; remote access; remote desktop,0,more frequent restoration testing ○ complete regular vulnerability scans ○ operate with multi-factor authentication practices for remote access and email ○ conduct cyber security training for all regular and contractual employees task 3 : local government cybersecurity the,"dings. the outcomes of these initiatives are already demonstrably productive, with the most notable being the elimination of the ""remote desktop protocol"" (rdp) service from state systems on the maryland network from january 2020 through present, from what was several dozen"
MD Local Gov Cybersecurity 2021,MD_UMGC_LocalGov_Cybersecurity_2021.pdf,PL-06,Configuration Management Policy,CM-1,HIGH,1,1,5,hardening,0," resiliency loan fund, created during the 2021 legislative session) or a grant fund. the fund could be used for the following: a) hardening current devices and networks with the most up-to-date cybersecurity protections. b) supporting the purchase of new hardware, soft",
MD Local Gov Cybersecurity 2021,MD_UMGC_LocalGov_Cybersecurity_2021.pdf,PL-07,Change Management / Change Control,CM-3,MEDIUM,1,1,5,cab,0,"mpliance and risk management. these tools will help the teams responsible for managing systems to ensure compliance with the applicable standards, ultimately leading to fewer negative audit findings. the outcomes of these initiatives are already demonstrably prod",
MD Local Gov Cybersecurity 2021,MD_UMGC_LocalGov_Cybersecurity_2021.pdf,PL-08,Audit Logging & Monitoring,AU-2,HIGH,1,2,7,logging; monitoring,0,nitoring of systems for unusual events and reviewing system logs to detect anomalous behavior. findings related to monitoring and logging comprise four of the twenty-one (19%) findings in calendar year 2020. this trend is important to monitor because it is predicated,"zation and vigilance. it must ensure that all state it systems are as secure as possible, which requires continued management and monitoring of sensitive information, vulnerability and risk assessments, remediation objectives and appropriate training. the state must als"
MD Local Gov Cybersecurity 2021,MD_UMGC_LocalGov_Cybersecurity_2021.pdf,PL-09,Audit Review & Alerting,AU-6,HIGH,0,0,6,,0,,
MD Local Gov Cybersecurity 2021,MD_UMGC_LocalGov_Cybersecurity_2021.pdf,PL-10,Incident Response Plan,IR-1,HIGH,1,2,6,incident response; security incident,0,"tains to all activities necessary to manage risk: strategic planning, budget and procurement, risk identification and mitigation, incident response, information sharing, and workforce development.13 mature governance results in deliberate risk trade-offs with the entire enterp","omprehensive survey that endeavored to understand the executive branch’s ability to identify, protect, detect and respond to cybersecurity incidents. state executive branch questions ● has each state agency completed a recent vulnerability assessment, planned to remediate any "
MD Local Gov Cybersecurity 2021,MD_UMGC_LocalGov_Cybersecurity_2021.pdf,PL-11,Incident Reporting,IR-6,HIGH,0,0,5,,0,,
MD Local Gov Cybersecurity 2021,MD_UMGC_LocalGov_Cybersecurity_2021.pdf,PL-12,Risk Assessment,RA-3,HIGH,1,3,6,risk assessment; risk register; vulnerability assessment,0,curement of managed cybersecurity services under state vehicles and allow local units of government to participate. ● connect all risk assessments required by the state security manual with the budgeting process and articulate the cybersecurity budget similar to the federal ,"otect, detect and respond to cybersecurity incidents. state executive branch questions ● has each state agency completed a recent vulnerability assessment, planned to remediate any current vulnerabilities, and prepared to prevent evolving/future cybersecurity risks? ● how do the stat"
MD Local Gov Cybersecurity 2021,MD_UMGC_LocalGov_Cybersecurity_2021.pdf,PL-13,Vulnerability Scanning,RA-5,HIGH,1,4,6,patch management; penetration test; vulnerability management; vulnerability scan,0,"y manual describes the standards for scanning it assets for vulnerabilities. of the agencies that responded, more than half noted vulnerability scanning within standards. however, of those that responded ""unknown,"" half received the service from doit but were unaware. ● respond",tate should look into a voluntary certification program for entities that meet a defined set of standards. ● patch management and vulnerability management go hand in hand. ● vulnerability management cannot be addressed by having vendors come in to perform assessments. often these ass
MD Local Gov Cybersecurity 2021,MD_UMGC_LocalGov_Cybersecurity_2021.pdf,PL-14,Data Encryption in Transit,SC-8,HIGH,1,1,6,https,0,e sought input from these stakeholders on how the state could be most helpful as a resource for these units of local government. 3https://www.baltimoresun.com/politics/bs-md-ci-ransomware-expenses-20190828-njgznd7dsfaxbbaglnvnbkgjhe-s tory.html 4https://www.baltimo,
MD Local Gov Cybersecurity 2021,MD_UMGC_LocalGov_Cybersecurity_2021.pdf,PL-15,Data Encryption at Rest,SC-28,HIGH,0,0,6,,0,,
MD Local Gov Cybersecurity 2021,MD_UMGC_LocalGov_Cybersecurity_2021.pdf,PL-16,Network Segmentation,SC-7,MEDIUM,1,1,7,firewall,0,"gislative audit’s reports, representing four of the twenty-one (19%) findings, is the failure to enable or fully utilize advanced firewall features such as intrusion detection and prevention systems. because of substantial investments initiated by the office of securi",
MD Local Gov Cybersecurity 2021,MD_UMGC_LocalGov_Cybersecurity_2021.pdf,PL-17,Security Awareness Training,AT-2,MEDIUM,1,2,5,security awareness; security training,0, regular basis. over 60% of respondents require multi-factor authentication for email. only three respondents do not conduct cybersecurity training. 2 ibid. 6 ● detect: the maryland it security manual describes the standards for scanning it assets for vulnerabilities. of the a,"provement? ● are local governments allocating sufficient resources to cybersecurity in their information technology budgets, cybersecurity awareness education and training for employees? overall, respondents across all sectors of local government expressed eagerness to improve "
MD Local Gov Cybersecurity 2021,MD_UMGC_LocalGov_Cybersecurity_2021.pdf,PL-18,Personnel Screening / Background Checks,PS-3,MEDIUM,1,1,5,vetting,0,"how the maryland cybersecurity coordinating council (mccc) is maturing as a stakeholder body, has begun to stream the process for vetting authority for new systems – but has not yet begun to perform its enterprise-wide 4 cybersecurity risk prioritization. it discusse",
MD Local Gov Cybersecurity 2021,MD_UMGC_LocalGov_Cybersecurity_2021.pdf,PL-19,Backup & Recovery,CP-9,HIGH,1,4,7,backup; disaster recovery; recovery; rpo,0,ent. most units lacked explicit standards describing sensitive information and information-sharing agreements. nearly 75% perform backups on a regular basis. over 60% of respondents require multi-factor authentication for email. only three respondents do not conduct,s indicate that 80% of respondents have a complete or partial inventory of internal it systems. more than 50% have not identified recovery time objectives for their systems. ● protect: survey results indicate that 40% of units have at least one legacy system. more tha
MD Local Gov Cybersecurity 2021,MD_UMGC_LocalGov_Cybersecurity_2021.pdf,PL-20,Contingency / Disaster Recovery Plan,CP-2,HIGH,1,2,5,contingency plan; disaster recovery plan,0,"h covers prevention, response, and recovery nor a cyber disruption event in the form of an emergency operations plan annex, nor a contingency plan. ● only 31% of local school system respondents indicated that their organization allocates sufficient resources to cybersecurity ","applications, and technology hardware that has access to their organization’s data. ● 21% of respondents reported their lea has a disaster recovery plan and an incident response plan, which have been tested within the past 12 months. ● more than half of respondents reported that th"
MD Local Gov Cybersecurity 2021,MD_UMGC_LocalGov_Cybersecurity_2021.pdf,PL-21,Third-Party / Vendor Risk Management,SR-1,MEDIUM,1,2,6,supply chain; third party,0,"20 illinois 19/20 maryland 19/20 michigan 18/20 california 18/20 the missing elements in the maryland’s security manual concerned supply chain risk management.49 revision 5 of nist 800-53 was published earlier than anticipated, and doit has confirmed that supply chain ris",his information to prioritize remediation activities. recommendations ● sebc recommendation 2. that the state hire an independent third party to work with the chief data officer and all state agencies to produce the first baseline report of their it systems and specified
MD Local Gov Cybersecurity 2021,MD_UMGC_LocalGov_Cybersecurity_2021.pdf,PL-22,Media Sanitization,MP-6,MEDIUM,0,0,5,,0,,
MD Health Dept IT Security Policy,MD_DHMH_IT_SecurityPolicy.pdf,PL-01,Access Control Policy & Procedures,AC-1,HIGH,0,0,4,,0,,
MD Health Dept IT Security Policy,MD_DHMH_IT_SecurityPolicy.pdf,PL-02,Account Management,AC-2,HIGH,1,2,7,account management; user accounts,0,r biometrics. (cid:120) system owners/operators must manage user accounts assigned within its information systems. effective user account management practices include (i) obtaining authorization from appropriate officials (unit supervisor and data or system owner/custodian appr,"controls 7.1 access control requirements dhmh business units must cooperate with oit to: 19 cio approval version (cid:120) manage user accounts, including activation, deactivation, changes and audits. (cid:120) enforce assigned authorizations that control system access and"
MD Health Dept IT Security Policy,MD_DHMH_IT_SecurityPolicy.pdf,PL-03,Least Privilege / Role-Based Access,AC-6,HIGH,1,4,7,least privilege; need to know; permissions; roles,1,"tem can identify and verify the identification and, if necessary, the location of each authorized user. • apply access method of “least privilege” where access to, or the flow of information, is only granted to the extent necessary to get the job done. • authenticate individ","mation and that such access is strictly controlled, audited, and that it supports the concepts of ‘least possible privilege” and “need to know”. (cid:120) identify, document and approve specific user actions that can be performed without identification or authentication. "
MD Health Dept IT Security Policy,MD_DHMH_IT_SecurityPolicy.pdf,PL-04,Multi-Factor Authentication (MFA),IA-2,HIGH,1,2,7,authentication; cac,1,7.2 audit & accountability control requirements 20 7.3 identification & authorization & access control requirements 21 7.3.1 user authentication & password requirements 22 7.4 system & network communications control requirements 23 section 8: virtualization technologies 24 ,"at one user can take over the functions of another without having to know the other’s password. 4.) applications should support tacacs+, radius and/or x.509 with ldap security retrieval, wherever possible. d.) strong password construction guidelines 1.) contain b"
MD Health Dept IT Security Policy,MD_DHMH_IT_SecurityPolicy.pdf,PL-05,Remote Access Controls,AC-17,MEDIUM,1,3,6,remote access; ssh; vpn,1," form dhmh #4518 (revised 3‐2013) sar‐5‐ system inventory, security classification & protection (revised 3‐2013) sar‐6 ‐ dial‐up‐ remote access (revised 3‐2013) sar‐7 ‐ incident response (revised 3‐2013) sar‐8 ‐ data eradication (revised 3‐2013) sar‐9 – laptop & mobile com","gency information system by a user communicating through an external network, for example: the internet. virtual private network (vpn) or equivalent technology should be used when remotely accessing information systems. all remote access connections that utilize "
MD Health Dept IT Security Policy,MD_DHMH_IT_SecurityPolicy.pdf,PL-06,Configuration Management Policy,CM-1,HIGH,1,4,5,baseline configuration; configuration management; hardening; system configuration,0,service interface agreements 13 section 6: operational level controls 14 6.1 awareness and training 14 3 cio approval version 6.2 configuration management 14 6.3 contingency planning 15 6.4 incident response 15 6.5 maintenance 16 6.6 media protection and management 16 6.7 physical an,"gement process to ensure changes to systems are controlled by; (cid:120) developing, documenting, and maintaining current secured baseline configurations. (cid:120) developing, documenting, and maintaining a current inventory of the components of information systems and relevant ow"
MD Health Dept IT Security Policy,MD_DHMH_IT_SecurityPolicy.pdf,PL-07,Change Management / Change Control,CM-3,MEDIUM,1,3,5,cab; change control; change management,0,"ity required to protect all information assets under their control to comply with this policy; (cid:120) ensuring a configuration/change management process is used to maintain the security of the it system; (cid:120) development, implementation and testing of the it disaster r","ess to program source code and place source code in a secure environment, internally or 3rd party escrow for vendors. • implement change control procedures to minimize the corruption of information systems. • limit modifications to vendor­supplied software packages. • when "
MD Health Dept IT Security Policy,MD_DHMH_IT_SecurityPolicy.pdf,PL-08,Audit Logging & Monitoring,AU-2,HIGH,1,3,7,audit log; logging; monitoring,0,"will include all authentication processes to access the system, for both operating system and application‐level events. (cid:120) audit logs must enable tracking activities taking place on the system. application and system auditing must be enabled to the extent necess","hines, exchange agreements between the agency and external parties, transportation of physical media, and monitoring (e.g., audit logging, monitoring system use.) (cid:120) appropriate levels of security monitoring including intrusion detection, penetration testing, "
MD Health Dept IT Security Policy,MD_DHMH_IT_SecurityPolicy.pdf,PL-09,Audit Review & Alerting,AU-6,HIGH,1,1,6,alert,0,"identify, document, and correct information system flaws. additionally, they must receive and review: information system security alerts/advisories for critical software that they use (operating system, database software, etc.), system/application & database logs o",
MD Health Dept IT Security Policy,MD_DHMH_IT_SecurityPolicy.pdf,PL-10,Incident Response Plan,IR-1,HIGH,1,4,6,breach response; incident handling; incident response; security incident,0, controls 14 6.1 awareness and training 14 3 cio approval version 6.2 configuration management 14 6.3 contingency planning 15 6.4 incident response 15 6.5 maintenance 16 6.6 media protection and management 16 6.7 physical and personnel security 17 6.8 system and information in,exploitation of the external network connection (cid:120) requirements for notifying oit‐ind immediately of a suspected or actual security incident on the network (cid:120) a provision permitting the state to periodically test the ability to penetrate the state’s network from 
MD Health Dept IT Security Policy,MD_DHMH_IT_SecurityPolicy.pdf,PL-11,Incident Reporting,IR-6,HIGH,1,2,5,incident reporting; report incidents,0,"val version 13. assure business units which are permitted administer virus prevention, intrusion detection, and participate in an incident reporting program that coordinates with state efforts; 14.ensure critical systems implement appropriate separation of duties and assign man","mation assurance coordinator role: the iac acts as a co‐chair of the dhmh cirt, and is co‐delegated with the director, oit‐ind to report incidents to the doit security staff. a) when the cirt is activated the iac is responsible for the coordination of the response and reporti"
MD Health Dept IT Security Policy,MD_DHMH_IT_SecurityPolicy.pdf,PL-12,Risk Assessment,RA-3,HIGH,1,1,6,risk assessment,0,: nist special publication 800‐39. 5.2 security assessment and authorization agency business units shall participate in it system risk assessment and security plan development. completion and acceptance by the cio of this plan and any mitigation processes in writing will sta,
MD Health Dept IT Security Policy,MD_DHMH_IT_SecurityPolicy.pdf,PL-13,Vulnerability Scanning,RA-5,HIGH,1,1,6,penetration test,0," (e.g., audit logging, monitoring system use.) (cid:120) appropriate levels of security monitoring including intrusion detection, penetration testing, and violation analysis. (cid:120) documented reviews of audit trails on a regular basis to alert business unit custodians to ",
MD Health Dept IT Security Policy,MD_DHMH_IT_SecurityPolicy.pdf,PL-14,Data Encryption in Transit,SC-8,HIGH,1,3,6,encrypted communications; https; ssl,0,"protected by locking the file at an application level, or through data encryption during transit by an approved method. e.g. ssl, https, s­ftp, vpn etc. 84 cio approval version theft/loss of devices­ an immediate report to your director (within 2 hours) shall be ma","purposes. by clicking below on the log in link you are agreeing to follow applicable federal, state and agency policies, and expressly consent to the monitoring of all activities. any unauthorized access or inappropriate use of this system is prohibited and could"
MD Health Dept IT Security Policy,MD_DHMH_IT_SecurityPolicy.pdf,PL-15,Data Encryption at Rest,SC-28,HIGH,1,2,6,aes; encryption at rest,0,"e single, authorized remote access vehicle into the dhmh wan/lan which provides the appropriate level of data encryption. k) file encryption at rest is required for non­public information when on removable media, and/or when the risk of disclosure or loss of control is determin"," c) all state computational resources using encryption shall use approved encryption algorithms and key lengths. (128 bit ssl, or aes – advanced encryption standard). unless otherwise permitted in this requirement, the use of non­fips 140­2 compliant proprietary "
MD Health Dept IT Security Policy,MD_DHMH_IT_SecurityPolicy.pdf,PL-16,Network Segmentation,SC-7,MEDIUM,1,2,7,dmz; firewall,1,11) sar‐10 ‐ encryption (revised 3‐2013) sar‐11‐ wireless networks (revised 3‐2013) sar‐12 ‐ passwords (revised 3‐2013) sar‐ 13 ‐ firewalls (revised 3‐2013) sar‐14 ‐ appropriate use of internet/ social media (revised 3‐2013) sar‐15 ‐ attachment‐ incident response prot,ts that require direct access from the internet. components that meet these criteria must be placed behind a de‐militarized zone (dmz) where they are not accessible from the internet and can only interact with dmz components through a firewall. (cid:120) appropri
MD Health Dept IT Security Policy,MD_DHMH_IT_SecurityPolicy.pdf,PL-17,Security Awareness Training,AT-2,MEDIUM,1,2,5,security awareness; security training,0,"formation system security roles and responsibilities, document those roles and responsibilities, and provide access to sufficient security training ‐ before authorizing access to information systems or confidential information, and routinely thereafter. units must document and","tor as part of their overall hr management plan individual user’s information system security training activities including basic security awareness training and specific information system security training. all existing employees who have, or may have in the future, access to"
MD Health Dept IT Security Policy,MD_DHMH_IT_SecurityPolicy.pdf,PL-18,Personnel Screening / Background Checks,PS-3,MEDIUM,1,1,5,clearance,0,e it areas with controls commensurate to the risks; (cid:120) ensure secure storage of media; (cid:120) obtain personnel security clearances where appropriate. physical access controls must be in place for the following: (cid:120) data centers; (cid:120) areas containi,
MD Health Dept IT Security Policy,MD_DHMH_IT_SecurityPolicy.pdf,PL-19,Backup & Recovery,CP-9,HIGH,1,6,7,backup; business continuity; disaster recovery; recovery; rpo; rto,1,"erform essential capabilities for receiving, processing, storing, or transmitting confidential information. (cid:120) maintaining backup copies of hardened system configurations. security configuration guidance: national security agency; http://www.nsa.gov/ia/mitiga",", (cid:120) all activities and operations required to ensure data security including facility design, physical security, disaster recovery and business continuity planning, use of hardware and operating systems or application software, data disposal, and protection of"
MD Health Dept IT Security Policy,MD_DHMH_IT_SecurityPolicy.pdf,PL-20,Contingency / Disaster Recovery Plan,CP-2,HIGH,1,3,5,business continuity plan; contingency plan; disaster recovery plan,0,section 6: operational level controls 14 6.1 awareness and training 14 3 cio approval version 6.2 configuration management 14 6.3 contingency planning 15 6.4 incident response 15 6.5 maintenance 16 6.6 media protection and management 16 6.7 physical and personnel security 17 ,"management process is used to maintain the security of the it system; (cid:120) development, implementation and testing of the it disaster recovery plan for critical agency it systems in accordance with state it disaster recovery plan guidelines; (cid:120) ensuring separation of du"
MD Health Dept IT Security Policy,MD_DHMH_IT_SecurityPolicy.pdf,PL-21,Third-Party / Vendor Risk Management,SR-1,MEDIUM,1,1,6,third party,1,"p, quality and security functionality, testing to detect malicious code, and escrow arrangements in the event of a declaration of third party failure that authorize dhmh to receive code or data upon demand without the intervention of the third party. important resources ",
MD Health Dept IT Security Policy,MD_DHMH_IT_SecurityPolicy.pdf,PL-22,Media Sanitization,MP-6,MEDIUM,1,2,5,degaussing; media sanitization,2,"y public data, business units may contact oit for approval to sanitize the media in accordance with nist sp 800‐88 guidelines for media sanitization. a review of all media will be required by network personnel to assure that non‐public information is not present, nor is recover", unrecoverable deletion deletion; or destroy by shredding magnetic disks and tapes erase using a destroy by shredding in any form degaussing device or (vendor) overwrite procedure as specified by manufacturer. optical media e.g. cds and n/a destroy by shredding data med
MD Judicial Info Security Policy,MD_Judicial_InfoSecurity_Policy.pdf,PL-01,Access Control Policy & Procedures,AC-1,HIGH,0,0,4,,0,,
MD Judicial Info Security Policy,MD_Judicial_InfoSecurity_Policy.pdf,PL-02,Account Management,AC-2,HIGH,1,2,7,account management; user accounts,0,"e formal documented procedures. • the judiciary must manage user accounts assigned within its information systems. effective user account management practice includes: • obtaining authorization from appropriate officials to request user account creation, modification and deleti","logging into the backup platform. section 7: technical level controls 7.1 access control requirements • the judiciary must manage user accounts, including activation, deactivation, changes and audits. • the judiciary must ensure that only authorized users (employees or age"
MD Judicial Info Security Policy,MD_Judicial_InfoSecurity_Policy.pdf,PL-03,Least Privilege / Role-Based Access,AC-6,HIGH,1,3,7,least privilege; need to know; roles,0,"the confidentiality, integrity, and availability of the data. • backups shall include logging capabilities to monitor activity. • least privileged shall be used in the protection and access. • when able, multi-factor authentication shall be implemented when logging into the ","mation and that such access is strictly controlled, audited, and that it supports the concepts of “least possible privilege” and “need to know”. • the judiciary must ensure that systems or business processes, where feasible, enforce separation of duties through assigned a"
MD Judicial Info Security Policy,MD_Judicial_InfoSecurity_Policy.pdf,PL-04,Multi-Factor Authentication (MFA),IA-2,HIGH,1,4,7,authentication; cac; mfa; multi-factor,1,"tivity • user’s identity must be validated when a user password reset is requested • where possible, multi-factor authentication (mfa) must be implemented on public-facing systems. • minimum and maximum network account password age limits must not be set to 0 but","all include logging capabilities to monitor activity. • least privileged shall be used in the protection and access. • when able, multi-factor authentication shall be implemented when logging into the backup platform. section 7: technical level controls 7.1 access control"
MD Judicial Info Security Policy,MD_Judicial_InfoSecurity_Policy.pdf,PL-05,Remote Access Controls,AC-17,MEDIUM,1,2,6,remote access; vpn,0,"t or initiate a re-authentication process after an approved period of inactivity. • jis must authorize, document, and monitor all remote access capabilities used on its systems. all remote access connections that utilize a shared infrastructure, such as the internet, must ","are updates when available. a device (e.g. laptop or tablet) should be connected to the in-office network or remotely through the vpn at least monthly to ensure they receive the latest patches and security, system and software updates. • individuals assigned a mo"
MD Judicial Info Security Policy,MD_Judicial_InfoSecurity_Policy.pdf,PL-06,Configuration Management Policy,CM-1,HIGH,1,3,5,configuration management; hardening; system configuration,0, and awareness ............................................................................................................ 9 6.2 configuration management ......................................................................................................................... 9 6.3 n,"ce a year, that is directed towards privileged account holders, developers, and executives. . 6.2 configuration management system hardening procedures shall be created and maintained to ensure up-to-date security leading practices are deployed for all it operating syst"
MD Judicial Info Security Policy,MD_Judicial_InfoSecurity_Policy.pdf,PL-07,Change Management / Change Control,CM-3,MEDIUM,1,2,5,cab; change management,0,"es, network, and hardware devices. all default system administrator passwords must be changed. jis shall implement an appropriate change management process to ensure changes to systems are controlled by: • a documented process for patching network devices, server operating sys",te physical access controls must be in place for the following: • data centers • areas containing production servers • networking cabinets and wiring closets • power and emergency backup equipment access to data centers and secured areas should be limited to thos
MD Judicial Info Security Policy,MD_Judicial_InfoSecurity_Policy.pdf,PL-08,Audit Logging & Monitoring,AU-2,HIGH,1,2,7,logging; monitoring,0," • jis shall implement system and information integrity security controls including vulnerability remediation, information system logging and monitoring, information input restrictions and information output handling and retention. • jis must protect against maliciou"," implement system and information integrity security controls including vulnerability remediation, information system logging and monitoring, information input restrictions and information output handling and retention. • jis must protect against malicious code, virus o"
MD Judicial Info Security Policy,MD_Judicial_InfoSecurity_Policy.pdf,PL-09,Audit Review & Alerting,AU-6,HIGH,1,1,6,alert,0,"tored for internal/external inspection as outlined in section 7.2, audit & accountability controls. • information system security alerts/advisories for critical software must be regularly reviewed and applied as appropriate by the person(s) assigned responsibility ",
